cycle_length,max_steps_reached
5488,false
817,false
12,false
182,false
6,false
151,false
11,false
39,false
389,false
114,false
439,false
22,false
92,false
542,false
11,false
537,false
128,false
241,false
110,false
6,false
106,false
2,false
181,false
4,false
286,false
7,false
93,false
162,false
117,false
30,false
62,false
8,false
669,false
4,false
4,false
354,false
289,false
70,false
30,false
51,false
33,false
84,false
14,false
1308,false
40,false
307,false
115,false
205,false
31,false
147,false
189,false
76,false
2,false
61,false
134,false
6,false
12,false
4,false
4,false
238,false
308,false
653,false
214,false
848,false
6,false
193,false
152,false
41,false
23,false
796,false
38,false
60,false
16,false
95,false
96,false
13,false
3576,false
4,false
97,false
246,false
2126,false
10,false
259,false
12,false
15,false
196,false
320,false
59,false
923,false
23,false
16,false
18,false
571,false
125,false
505,false
3,false
258,false
4,false
33,false
401,false
