cycle_length,max_steps_reached
4,false
1533,false
4,false
91,false
78,false
188,false
2,false
68,false
130,false
6,false
4,false
18,false
100,false
88,false
122,false
25,false
36,false
3,false
40,false
6,false
261,false
29,false
76,false
82,false
14,false
320,false
140,false
23,false
87,false
45,false
118,false
16,false
334,false
55,false
736,false
718,false
91,false
12,false
4,false
4,false
4,false
278,false
117,false
117,false
5,false
60,false
4,false
20,false
13,false
460,false
997,false
20,false
130,false
12,false
2,false
1153,false
5,false
4,false
6,false
1,false
178,false
3298,false
8,false
42,false
8,false
111,false
85,false
16,false
613,false
93,false
4,false
36,false
149,false
88,false
2,false
10,false
1,false
64,false
1065,false
1143,false
358,false
4,false
69,false
424,false
27,false
2586,false
10,false
65,false
228,false
104,false
535,false
44,false
12,false
49,false
7,false
64,false
52,false
19,false
311,false
30,false
