cycle_length,max_steps_reached
4,false
3,false
3,false
1,false
7,false
6,false
5,false
107,false
1,false
6,false
12,false
4,false
28,false
6,false
1,false
18,false
2,false
4,false
5,false
6,false
4,false
2,false
26,false
1,false
2,false
11,false
20,false
8,false
5,false
3,false
2,false
22,false
11,false
7,false
32,false
4,false
10,false
1,false
1,false
9,false
4,false
48,false
18,false
5,false
14,false
15,false
11,false
43,false
17,false
6,false
4,false
21,false
2,false
2,false
10,false
2,false
22,false
1,false
32,false
20,false
8,false
4,false
8,false
6,false
21,false
1,false
1,false
1,false
2,false
3,false
1,false
2,false
6,false
24,false
8,false
6,false
1,false
1,false
8,false
18,false
1,false
28,false
34,false
2,false
2,false
4,false
9,false
14,false
28,false
4,false
13,false
4,false
33,false
4,false
3,false
4,false
2,false
3,false
4,false
14,false
