cycle_length,max_steps_reached
4,false
23,false
3,false
2,false
11,false
33,false
14,false
2,false
28,false
30,false
22,false
5,false
2,false
16,false
16,false
11,false
10,false
9,false
3,false
6,false
8,false
4,false
15,false
4,false
28,false
7,false
7,false
4,false
2,false
2,false
10,false
23,false
14,false
4,false
27,false
2,false
33,false
3,false
4,false
1,false
14,false
16,false
3,false
2,false
4,false
4,false
8,false
1,false
7,false
3,false
14,false
19,false
19,false
16,false
5,false
3,false
16,false
26,false
13,false
8,false
2,false
65,false
5,false
1,false
8,false
2,false
1,false
41,false
8,false
4,false
5,false
1,false
3,false
4,false
5,false
2,false
2,false
15,false
28,false
28,false
3,false
1,false
15,false
20,false
4,false
5,false
16,false
4,false
14,false
18,false
2,false
36,false
9,false
1,false
74,false
2,false
1,false
12,false
1,false
28,false
