cycle_length,transient,max_steps_reached
10000,10000,true
10000,10000,true
10000,10000,true
3276,6666,false
10000,10000,true
10000,10000,true
6613,440,false
48,24,false
10000,10000,true
10,574,false
1938,262,false
96,85,false
10000,10000,true
10000,10000,true
454,1277,false
48,458,false
4844,1827,false
10000,10000,true
8,652,false
214,330,false
190,992,false
56,57,false
18,1053,false
84,65,false
10000,10000,true
10000,10000,true
10000,10000,true
8,49,false
10000,10000,true
10000,10000,true
10000,10000,true
32,72,false
93,280,false
24,122,false
2,107,false
86,108,false
12,69,false
10000,10000,true
10000,10000,true
10000,10000,true
202,547,false
222,206,false
651,56,false
10000,10000,true
48,42,false
10000,10000,true
30,22,false
10000,10000,true
104,990,false
10000,10000,true
