cycle_length,max_steps_reached
7,false
2,false
58,false
21,false
2,false
121,false
14,false
1,false
10,false
32,false
4,false
66,false
2,false
4,false
6,false
217,false
6,false
4,false
24,false
210,false
412,false
216,false
1,false
34,false
4,false
6,false
2,false
361,false
1596,false
8,false
1,false
1,false
6,false
70,false
2,false
2,false
1,false
2,false
4,false
62,false
24,false
7,false
1,false
26,false
4,false
2,false
4,false
34,false
2596,false
16,false
30,false
10,false
30,false
8,false
2,false
24,false
10,false
4,false
4,false
42,false
30,false
30,false
1,false
254,false
28,false
1,false
1,false
192,false
16,false
6,false
240,false
12,false
2,false
1,false
99,false
111,false
12,false
24,false
1,false
4,false
70,false
12,false
18,false
24,false
1,false
104,false
30,false
48,false
22,false
14,false
10,false
2,false
20,false
2,false
22,false
72,false
42,false
4,false
4,false
8,false
