cycle_length,max_steps_reached
65536,true
65536,true
112,false
100,false
330,false
33,false
65536,true
65536,true
19,false
65536,true
65536,true
133,false
14,false
28556,false
65536,true
128,false
65536,true
65536,true
8,false
18,false
12,false
698,false
4307,false
4526,false
10,false
10,false
24,false
65536,true
54,false
11520,false
12,false
4854,false
65536,true
60,false
112,false
65536,true
2,false
65536,true
92,false
65536,true
2417,false
60,false
19395,false
30,false
750,false
4,false
33,false
65536,true
4,false
17343,false
65536,true
7452,false
227,false
56,false
12,false
65536,true
65536,true
4784,false
65536,true
11818,false
190,false
1198,false
1953,false
80,false
217,false
124,false
100,false
65536,true
825,false
65536,true
401,false
48,false
2348,false
40233,false
2,false
1544,false
28,false
14,false
65536,true
26800,false
65536,true
2,false
10,false
16,false
65536,true
8,false
11,false
6021,false
217,false
42618,false
65536,true
65536,true
20,false
65536,true
1012,false
65536,true
18,false
65536,true
44,false
65536,true
