cycle_length,max_steps_reached
1,false
1,false
3,false
8,false
1,false
5,false
10,false
1,false
1,false
12,false
9,false
2,false
1,false
14,false
2,false
12,false
4,false
12,false
2,false
42,false
4,false
5,false
4,false
2,false
1,false
4,false
8,false
4,false
2,false
16,false
4,false
4,false
10,false
6,false
2,false
1,false
4,false
1,false
1,false
2,false
4,false
20,false
1,false
2,false
34,false
54,false
2,false
4,false
3,false
2,false
2,false
2,false
2,false
2,false
12,false
8,false
15,false
7,false
4,false
4,false
9,false
4,false
5,false
10,false
1,false
2,false
4,false
1,false
4,false
1,false
18,false
6,false
1,false
4,false
1,false
2,false
5,false
5,false
4,false
4,false
10,false
1,false
2,false
6,false
15,false
4,false
7,false
20,false
2,false
1,false
6,false
2,false
26,false
4,false
1,false
12,false
1,false
2,false
10,false
6,false
