cycle_length,transient,max_steps_reached
0,0,true
0,0,true
6003,7615,false
3276,6666,false
0,0,true
0,0,true
6613,440,false
48,24,false
4364,8612,false
10,574,false
1938,262,false
96,85,false
0,0,true
12,31112,false
454,1277,false
48,458,false
4844,1827,false
0,0,true
8,652,false
214,330,false
190,992,false
56,57,false
18,1053,false
84,65,false
0,0,true
0,0,true
0,0,true
8,49,false
20816,6128,false
11759,4855,false
0,0,true
32,72,false
93,280,false
24,122,false
2,107,false
86,108,false
12,69,false
0,0,true
31292,12906,false
0,0,true
202,547,false
222,206,false
651,56,false
0,0,true
48,42,false
0,0,true
30,22,false
0,0,true
104,990,false
0,0,true
0,0,true
7,5658,false
8,86,false
4,337,false
0,0,true
33314,17305,false
38,45,false
1409,1131,false
0,0,true
84,22,false
15,52,false
2,44,false
1044,727,false
0,0,true
0,0,true
522,4570,false
20,67,false
0,0,true
10908,2418,false
889,62,false
0,0,true
2600,5736,false
0,0,true
0,0,true
0,0,true
0,0,true
24,54,false
162,57,false
0,0,true
0,0,true
0,0,true
1,38,false
0,0,true
0,0,true
48,314,false
20,534,false
91,59,false
204,1104,false
7680,16865,false
16,107,false
21912,7082,false
0,0,true
27677,3851,false
0,0,true
1,33,false
0,0,true
1760,1000,false
0,0,true
2,35,false
0,0,true
24,9001,false
8906,44427,false
24,628,false
36,119,false
0,0,true
0,0,true
968,1257,false
0,0,true
4,1332,false
0,0,true
7260,5037,false
0,0,true
114,1359,false
1286,1577,false
1,40,false
0,0,true
32,171,false
0,0,true
0,0,true
4,102,false
0,0,true
0,0,true
0,0,true
0,0,true
4,36,false
28536,39168,false
57140,812,false
4,80,false
2,39,false
63724,72,false
8,35,false
168,64,false
0,0,true
1907,1698,false
0,0,true
0,0,true
1280,23968,false
0,0,true
0,0,true
1,31,false
0,0,true
4103,24574,false
8,848,false
5434,1115,false
0,0,true
0,0,true
1,58,false
39,2522,false
4,162,false
10,31,false
0,0,true
50278,2915,false
0,0,true
24,86,false
0,0,true
25,43,false
3220,220,false
1,27,false
508,8420,false
0,0,true
20628,25236,false
58192,30140,false
22220,9065,false
99,132,false
12,4464,false
32,170,false
0,0,true
0,0,true
56,128,false
0,0,true
0,0,true
0,0,true
406,10422,false
0,0,true
0,0,true
2,26,false
0,0,true
0,0,true
5900,696,false
0,0,true
14328,17515,false
5202,41134,false
36,47,false
0,0,true
0,0,true
0,0,true
0,0,true
737,732,false
9860,1403,false
78,28,false
0,0,true
12,1534,false
0,0,true
0,0,true
2804,973,false
0,0,true
20,46,false
0,0,true
504,61,false
132,469,false
0,0,true
0,0,true
4,5045,false
60,91,false
2120,635,false
23,1969,false
18,884,false
0,0,true
99,87,false
24,43,false
0,0,true
126,5781,false
28,2287,false
0,0,true
34,67,false
30,41,false
40,32,false
1088,2646,false
0,0,true
132,46,false
0,0,true
0,0,true
448,292,false
0,0,true
0,0,true
378,130,false
0,0,true
0,0,true
296,230,false
36,4851,false
6,3024,false
26222,2809,false
0,0,true
96,114,false
0,0,true
0,0,true
2,46,false
190,98,false
32,60,false
12,58,false
6,58,false
0,0,true
1082,1709,false
24,38,false
0,0,true
0,0,true
116,165,false
22,83,false
2,648,false
117,57908,false
70,122,false
14,538,false
1016,1344,false
42,102,false
68,38,false
26,66,false
2,48,false
32,298,false
2,323,false
132,56,false
0,0,true
0,0,true
24,226,false
693,971,false
0,0,true
420,292,false
20,246,false
79,174,false
20790,4076,false
48,175,false
0,0,true
456,2236,false
1,32,false
60,132,false
0,0,true
222,105,false
0,0,true
127,17698,false
62,56,false
8133,22467,false
13,79,false
2,57,false
