unique_cycles,msr
1,49
0,50
0,50
0,50
1,49
0,50
0,50
0,50
0,50
0,50
0,50
0,50
0,50
0,50
0,50
7,43
0,50
0,50
0,50
0,50
0,50
0,50
30,0
0,50
4,0
0,50
0,50
0,50
0,50
0,50
0,50
2,0
7,0
0,50
25,0
0,50
0,50
0,50
0,50
0,50
0,50
19,13
0,50
0,50
0,50
27,0
3,43
0,50
0,50
0,50
0,50
0,50
0,50
0,50
0,50
0,50
9,0
0,50
0,50
0,50
0,50
0,50
0,50
0,50
0,50
0,50
0,50
0,50
6,0
0,50
19,0
0,50
0,50
0,50
0,50
0,50
0,50
0,50
4,0
0,50
0,50
0,50
0,50
0,50
0,50
0,50
0,50
0,50
0,50
0,50
0,50
0,50
0,50
0,50
0,50
0,50
0,50
0,50
0,50
0,50
