cycle_length,min_distance,net
50,0.010000,1
50,0.010000,1
50,0.020000,1
50,0.010000,1
18,0.030000,1
50,0.020000,1
50,0.020000,1
50,0.010000,1
50,0.020000,1
50,0.020000,1
50,0.020000,1
50,0.010000,1
50,0.020000,1
50,0.020000,1
50,0.020000,1
18,0.030000,1
50,0.010000,1
1,0.020000,3
2,0.020000,3
1,0.020000,3
1,0.020000,3
2,0.020000,3
1,0.020000,3
20,0.020000,4
4,0.020000,4
20,0.020000,4
20,0.020000,4
4,0.320000,4
4,0.020000,4
20,0.020000,4
20,0.020000,4
20,0.020000,4
4,0.020000,6
4,0.020000,6
11,0.040000,7
13,0.040000,7
11,0.040000,7
16,0.050000,7
13,0.040000,7
58,0.040000,7
39,0.010000,8
15,0.010000,8
15,0.100000,8
39,0.030000,8
2,0.010000,9
2,0.010000,9
12,0.010000,10
4,0.020000,10
12,0.020000,10
4,0.010000,10
8,0.010000,11
8,0.010000,11
8,0.010000,11
8,0.010000,11
8,0.010000,11
8,0.010000,11
8,0.010000,11
8,0.010000,11
8,0.040000,12
8,0.040000,12
28,0.010000,13
14,0.050000,13
14,0.040000,13
14,0.020000,13
28,0.010000,13
14,0.020000,13
14,0.020000,13
14,0.020000,13
56,0.010000,13
28,0.010000,13
28,0.010000,13
14,0.010000,13
14,0.010000,13
56,0.010000,13
14,0.030000,13
14,0.020000,13
14,0.040000,13
14,0.040000,13
14,0.010000,13
14,0.040000,13
14,0.010000,14
14,0.010000,14
2,0.010000,14
14,0.030000,14
2,0.010000,14
1,0.070000,15
1,0.070000,15
20,0.010000,16
20,0.010000,16
20,0.010000,16
20,0.010000,16
4,0.030000,16
20,0.010000,16
20,0.020000,16
20,0.010000,16
20,0.010000,16
20,0.010000,16
20,0.010000,16
20,0.020000,16
20,0.010000,16
20,0.010000,16
20,0.010000,16
6,0.010000,17
6,0.010000,17
6,0.010000,17
6,0.010000,17
6,0.010000,17
6,0.010000,17
2,0.010000,17
6,0.010000,17
6,0.010000,17
6,0.010000,17
6,0.010000,17
2,0.010000,17
4,0.010000,19
44,0.010000,19
4,0.010000,19
44,0.010000,19
44,0.010000,19
44,0.010000,19
44,0.010000,19
44,0.010000,19
44,0.010000,19
44,0.010000,19
44,0.010000,19
44,0.010000,19
44,0.010000,19
44,0.010000,19
4,0.040000,20
4,0.040000,20
1,0.030000,21
1,0.030000,21
5,0.010000,22
5,0.010000,22
5,0.010000,22
5,0.010000,22
5,0.010000,22
5,0.010000,22
5,0.010000,22
5,0.010000,22
1,0.010000,22
5,0.010000,22
1,0.010000,22
5,0.010000,22
5,0.010000,22
5,0.010000,22
5,0.010000,22
5,0.010000,22
1,0.010000,22
5,0.010000,22
5,0.010000,22
5,0.010000,22
5,0.010000,22
5,0.010000,22
5,0.010000,22
6,0.010000,23
2,0.010000,23
6,0.010000,23
2,0.010000,23
8,0.080000,24
6,0.090000,24
3,0.110000,24
16,0.080000,24
10,0.110000,25
2,0.110000,25
8,0.010000,26
8,0.010000,26
1,0.270000,26
8,0.010000,26
