cycle_length,max_steps_reached
21,false
2,false
8,false
152,false
2,false
24,false
2,false
30,false
2,false
1,false
8,false
205,false
16,false
4,false
140,false
8,false
2,false
4,false
2,false
12,false
28,false
1,false
13,false
67,false
11,false
1,false
4,false
48,false
8,false
30,false
385,false
1024,true
64,false
48,false
6,false
4,false
18,false
11,false
4,false
34,false
137,false
10,false
2,false
162,false
14,false
4,false
22,false
32,false
96,false
4,false
3,false
1024,true
101,false
112,false
11,false
84,false
6,false
44,false
511,false
4,false
28,false
175,false
4,false
124,false
68,false
100,false
79,false
26,false
1024,true
6,false
37,false
8,false
1,false
2,false
1,false
4,false
10,false
48,false
12,false
32,false
12,false
12,false
48,false
309,false
2,false
22,false
8,false
21,false
121,false
24,false
2,false
48,false
4,false
42,false
24,false
1024,true
12,false
4,false
14,false
8,false
1,false
8,false
32,false
2,false
532,false
45,false
1,false
38,false
10,false
43,false
16,false
24,false
2,false
4,false
41,false
60,false
10,false
2,false
4,false
30,false
36,false
44,false
14,false
78,false
28,false
32,false
1,false
1,false
53,false
92,false
1024,true
2,false
252,false
12,false
6,false
12,false
568,false
4,false
1,false
8,false
16,false
8,false
758,false
64,false
8,false
2,false
8,false
90,false
6,false
618,false
363,false
186,false
3,false
2,false
6,false
2,false
14,false
2,false
5,false
6,false
8,false
34,false
4,false
10,false
220,false
10,false
2,false
2,false
52,false
2,false
14,false
42,false
171,false
2,false
26,false
15,false
6,false
122,false
24,false
8,false
77,false
15,false
9,false
11,false
10,false
85,false
34,false
1024,true
3,false
8,false
31,false
25,false
394,false
3,false
34,false
29,false
60,false
14,false
101,false
41,false
52,false
2,false
17,false
6,false
5,false
3,false
24,false
76,false
73,false
4,false
2,false
12,false
12,false
6,false
2,false
714,false
4,false
336,false
16,false
24,false
2,false
1,false
2,false
198,false
60,false
14,false
10,false
163,false
10,false
4,false
32,false
90,false
24,false
2,false
118,false
99,false
424,false
8,false
1,false
20,false
19,false
726,false
1024,true
54,false
86,false
62,false
4,false
7,false
1,false
14,false
28,false
56,false
30,false
4,false
129,false
5,false
8,false
1024,true
7,false
207,false
6,false
4,false
3,false
4,false
9,false
24,false
70,false
2,false
6,false
226,false
52,false
6,false
2,false
10,false
2,false
4,false
6,false
84,false
78,false
1024,true
14,false
402,false
3,false
24,false
2,false
12,false
10,false
8,false
1,false
16,false
140,false
4,false
11,false
260,false
106,false
4,false
6,false
43,false
4,false
2,false
1,false
1,false
9,false
9,false
1,false
16,false
1024,true
2,false
1,false
2,false
294,false
12,false
12,false
7,false
10,false
260,false
32,false
4,false
48,false
4,false
2,false
107,false
24,false
12,false
5,false
92,false
13,false
1024,true
124,false
1024,true
9,false
40,false
76,false
20,false
4,false
4,false
6,false
366,false
20,false
1,false
15,false
20,false
252,false
102,false
2,false
6,false
8,false
14,false
42,false
4,false
156,false
36,false
18,false
4,false
876,false
136,false
6,false
100,false
4,false
47,false
6,false
16,false
24,false
1,false
15,false
44,false
24,false
615,false
621,false
10,false
428,false
3,false
12,false
2,false
95,false
36,false
6,false
36,false
4,false
18,false
6,false
77,false
266,false
102,false
2,false
4,false
1,false
6,false
42,false
135,false
10,false
60,false
6,false
17,false
12,false
12,false
24,false
6,false
148,false
314,false
233,false
18,false
145,false
2,false
23,false
8,false
1,false
20,false
202,false
15,false
4,false
7,false
2,false
2,false
2,false
6,false
16,false
80,false
42,false
126,false
21,false
133,false
32,false
42,false
16,false
4,false
20,false
10,false
2,false
21,false
194,false
52,false
10,false
8,false
6,false
32,false
101,false
6,false
1,false
6,false
60,false
8,false
1,false
7,false
31,false
6,false
8,false
4,false
2,false
32,false
434,false
7,false
21,false
69,false
200,false
30,false
645,false
5,false
6,false
300,false
77,false
8,false
7,false
9,false
231,false
2,false
6,false
76,false
110,false
4,false
28,false
21,false
8,false
16,false
12,false
32,false
4,false
7,false
63,false
18,false
41,false
104,false
667,false
276,false
1,false
38,false
4,false
188,false
4,false
28,false
20,false
63,false
508,false
3,false
6,false
4,false
31,false
84,false
20,false
198,false
