cycle_length,max_steps_reached
1024,true
20,false
11,false
230,false
2,false
16,false
3,false
36,false
70,false
1024,true
48,false
18,false
40,false
10,false
4,false
20,false
1,false
704,false
1024,true
1,false
30,false
12,false
14,false
2,false
15,false
1,false
140,false
4,false
12,false
12,false
1024,true
6,false
6,false
800,false
1,false
62,false
274,false
6,false
10,false
36,false
42,false
15,false
12,false
198,false
1,false
1,false
16,false
100,false
4,false
1024,true
13,false
48,false
30,false
4,false
2,false
34,false
1024,true
1,false
10,false
2,false
1024,true
4,false
8,false
12,false
3,false
1024,true
12,false
6,false
1024,true
12,false
160,false
1024,true
56,false
889,false
10,false
204,false
1024,true
64,false
6,false
12,false
1024,true
1024,true
2,false
120,false
2,false
1,false
14,false
10,false
8,false
4,false
2,false
4,false
267,false
4,false
2,false
620,false
48,false
1024,true
164,false
6,false
1024,true
8,false
801,false
36,false
1024,true
1,false
1,false
1,false
1024,true
16,false
2,false
22,false
1,false
2,false
468,false
18,false
1024,true
6,false
2,false
18,false
56,false
1,false
1,false
1,false
8,false
1024,true
1024,true
16,false
238,false
6,false
98,false
1,false
24,false
1,false
40,false
10,false
10,false
4,false
10,false
68,false
1024,true
32,false
2,false
10,false
16,false
28,false
1,false
4,false
16,false
56,false
2,false
4,false
6,false
42,false
240,false
24,false
12,false
516,false
65,false
1,false
1024,true
320,false
30,false
93,false
1024,true
40,false
2,false
40,false
5,false
154,false
18,false
1,false
41,false
8,false
6,false
6,false
8,false
4,false
1024,true
36,false
200,false
4,false
5,false
1,false
12,false
2,false
20,false
6,false
3,false
6,false
504,false
8,false
4,false
12,false
12,false
18,false
16,false
304,false
4,false
10,false
88,false
2,false
8,false
6,false
24,false
1024,true
32,false
20,false
3,false
1024,true
1,false
2,false
8,false
269,false
5,false
6,false
220,false
1024,true
40,false
24,false
3,false
1,false
14,false
2,false
1024,true
55,false
12,false
84,false
170,false
54,false
4,false
6,false
28,false
14,false
1,false
6,false
180,false
20,false
1,false
30,false
48,false
26,false
1,false
1024,true
8,false
2,false
6,false
6,false
126,false
5,false
4,false
8,false
224,false
5,false
1024,true
2,false
4,false
4,false
1024,true
26,false
12,false
8,false
40,false
1024,true
1,false
24,false
4,false
2,false
24,false
14,false
60,false
7,false
2,false
30,false
8,false
1,false
1024,true
24,false
4,false
42,false
28,false
14,false
18,false
8,false
476,false
12,false
30,false
1024,true
434,false
4,false
504,false
108,false
192,false
2,false
14,false
8,false
22,false
2,false
1024,true
2,false
4,false
2,false
1024,true
6,false
1,false
24,false
2,false
312,false
3,false
2,false
8,false
1,false
3,false
2,false
60,false
1,false
1,false
4,false
18,false
12,false
2,false
4,false
24,false
84,false
1024,true
6,false
40,false
168,false
1024,true
1024,true
48,false
91,false
14,false
7,false
2,false
1,false
44,false
123,false
1,false
42,false
6,false
1024,true
36,false
12,false
1,false
20,false
8,false
8,false
18,false
13,false
1024,true
24,false
42,false
84,false
14,false
1,false
12,false
1024,true
2,false
4,false
1,false
6,false
10,false
4,false
14,false
12,false
18,false
1024,true
1023,false
2,false
21,false
36,false
78,false
252,false
4,false
24,false
33,false
2,false
14,false
6,false
12,false
1024,true
1024,true
96,false
6,false
6,false
24,false
30,false
150,false
18,false
24,false
9,false
8,false
210,false
1,false
1,false
36,false
24,false
16,false
4,false
12,false
36,false
47,false
48,false
4,false
11,false
24,false
48,false
1,false
1,false
120,false
6,false
30,false
30,false
4,false
252,false
4,false
2,false
8,false
8,false
598,false
8,false
1024,true
24,false
2,false
22,false
66,false
174,false
10,false
4,false
5,false
1,false
24,false
2,false
48,false
42,false
12,false
6,false
1024,true
11,false
4,false
1024,true
2,false
390,false
10,false
14,false
2,false
44,false
10,false
10,false
32,false
136,false
234,false
192,false
10,false
1,false
8,false
6,false
264,false
9,false
1024,true
4,false
6,false
16,false
1024,true
434,false
238,false
1024,true
24,false
24,false
1,false
204,false
24,false
26,false
20,false
1024,true
34,false
930,false
4,false
1024,true
56,false
42,false
3,false
4,false
19,false
1024,true
1024,true
4,false
1024,true
30,false
1,false
31,false
2,false
16,false
9,false
16,false
204,false
600,false
20,false
12,false
