cycle_length,max_steps_reached
6,false
2,false
2,false
4,false
4,false
3,false
8,false
1,false
11,false
4,false
6,false
1,false
7,false
1,false
2,false
14,false
8,false
30,false
16,false
7,false
1,false
8,false
1,false
4,false
1,false
17,false
2,false
4,false
1,false
21,false
4,false
8,false
4,false
1,false
4,false
2,false
3,false
1,false
24,false
2,false
12,false
2,false
3,false
2,false
1,false
1,false
8,false
1,false
2,false
3,false
7,false
1,false
7,false
3,false
4,false
19,false
1,false
2,false
1,false
4,false
4,false
4,false
1,false
4,false
7,false
1,false
4,false
10,false
2,false
14,false
4,false
2,false
2,false
6,false
4,false
1,false
1,false
3,false
12,false
5,false
4,false
1,false
12,false
1,false
21,false
8,false
2,false
4,false
2,false
1,false
1,false
3,false
1,false
1,false
1,false
4,false
12,false
3,false
2,false
3,false
2,false
4,false
4,false
2,false
6,false
6,false
2,false
5,false
1,false
1,false
5,false
4,false
3,false
4,false
8,false
4,false
2,false
4,false
4,false
1,false
8,false
2,false
1,false
10,false
5,false
2,false
8,false
2,false
4,false
8,false
4,false
1,false
1,false
14,false
6,false
5,false
2,false
12,false
1,false
4,false
2,false
10,false
2,false
10,false
2,false
18,false
2,false
3,false
2,false
4,false
4,false
1,false
10,false
2,false
5,false
6,false
1,false
12,false
4,false
11,false
1,false
1,false
2,false
2,false
2,false
4,false
4,false
32,false
1,false
4,false
6,false
7,false
2,false
2,false
2,false
2,false
1,false
30,false
4,false
3,false
7,false
4,false
4,false
6,false
1,false
8,false
1,false
1,false
6,false
4,false
4,false
1,false
4,false
21,false
7,false
11,false
12,false
5,false
2,false
1,false
10,false
2,false
1,false
3,false
5,false
2,false
4,false
2,false
2,false
12,false
1,false
4,false
2,false
1,false
3,false
28,false
14,false
1,false
5,false
8,false
1,false
4,false
4,false
6,false
7,false
2,false
10,false
1,false
2,false
2,false
4,false
18,false
3,false
7,false
1,false
1,false
9,false
2,false
1,false
16,false
2,false
4,false
7,false
1,false
2,false
2,false
10,false
6,false
4,false
4,false
1,false
2,false
2,false
13,false
2,false
4,false
2,false
2,false
2,false
1,false
1,false
1,false
10,false
10,false
1,false
2,false
2,false
4,false
2,false
8,false
8,false
1,false
1,false
1,false
5,false
2,false
9,false
1,false
2,false
8,false
2,false
30,false
2,false
2,false
1,false
1,false
4,false
1,false
2,false
6,false
1,false
7,false
13,false
20,false
1,false
12,false
2,false
1,false
4,false
4,false
8,false
8,false
2,false
2,false
4,false
7,false
1,false
4,false
1,false
1,false
9,false
2,false
2,false
6,false
2,false
1,false
4,false
3,false
2,false
4,false
8,false
8,false
10,false
2,false
2,false
2,false
4,false
8,false
4,false
5,false
3,false
2,false
12,false
2,false
1,false
4,false
6,false
2,false
2,false
3,false
2,false
2,false
2,false
4,false
1,false
1,false
1,false
2,false
1,false
5,false
4,false
2,false
1,false
2,false
1,false
1,false
2,false
4,false
4,false
2,false
36,false
6,false
3,false
6,false
1,false
4,false
1,false
4,false
10,false
3,false
6,false
9,false
4,false
3,false
6,false
6,false
6,false
1,false
6,false
4,false
1,false
1,false
1,false
7,false
4,false
14,false
6,false
1,false
1,false
1,false
8,false
1,false
3,false
6,false
2,false
15,false
2,false
3,false
14,false
15,false
5,false
1,false
2,false
6,false
24,false
1,false
2,false
7,false
7,false
6,false
2,false
1,false
13,false
6,false
2,false
4,false
12,false
2,false
10,false
2,false
12,false
2,false
4,false
5,false
1,false
2,false
8,false
1,false
1,false
2,false
5,false
2,false
1,false
1,false
16,false
1,false
4,false
2,false
3,false
2,false
31,false
1,false
2,false
4,false
6,false
7,false
1,false
5,false
2,false
2,false
1,false
2,false
2,false
1,false
4,false
1,false
2,false
1,false
4,false
2,false
31,false
2,false
7,false
2,false
1,false
1,false
4,false
2,false
5,false
1,false
7,false
22,false
1,false
2,false
15,false
2,false
2,false
8,false
2,false
2,false
14,false
4,false
1,false
1,false
1,false
7,false
14,false
2,false
4,false
8,false
16,false
60,false
2,false
2,false
2,false
4,false
20,false
1,false
4,false
5,false
