cycle_length,max_steps_reached
28,false
1024,true
280,false
30,false
1024,true
1024,true
6,false
1024,true
34,false
1,false
36,false
1024,true
2,false
60,false
10,false
259,false
1024,true
24,false
1024,true
10,false
1,false
12,false
104,false
1,false
10,false
32,false
144,false
1024,true
126,false
48,false
1,false
1,false
1024,true
2,false
6,false
1024,true
840,false
29,false
2,false
1,false
252,false
76,false
792,false
1,false
12,false
6,false
1024,true
180,false
10,false
1,false
12,false
8,false
78,false
2,false
8,false
1,false
78,false
1024,true
166,false
2,false
60,false
40,false
20,false
1024,true
60,false
4,false
8,false
8,false
1,false
24,false
90,false
1024,true
1,false
14,false
12,false
1,false
16,false
52,false
24,false
1023,false
66,false
8,false
12,false
60,false
26,false
6,false
8,false
1,false
11,false
882,false
12,false
1024,true
42,false
4,false
16,false
64,false
32,false
12,false
18,false
85,false
1,false
12,false
36,false
18,false
1024,true
4,false
1024,true
1024,true
28,false
1024,true
8,false
1024,true
60,false
10,false
44,false
24,false
18,false
396,false
110,false
4,false
72,false
2,false
12,false
12,false
4,false
12,false
10,false
6,false
14,false
12,false
68,false
3,false
640,false
34,false
1024,true
16,false
48,false
4,false
1024,true
12,false
4,false
9,false
1,false
6,false
14,false
720,false
1024,true
80,false
28,false
10,false
420,false
4,false
1024,true
1024,true
1024,true
4,false
10,false
1024,true
1,false
12,false
16,false
40,false
1024,true
1024,true
26,false
8,false
48,false
8,false
2,false
1024,true
16,false
12,false
40,false
18,false
1024,true
70,false
84,false
4,false
108,false
6,false
10,false
84,false
30,false
36,false
4,false
1,false
468,false
7,false
238,false
60,false
1,false
32,false
1024,true
12,false
18,false
126,false
90,false
40,false
1,false
16,false
2,false
2,false
2,false
126,false
3,false
12,false
6,false
6,false
280,false
1,false
4,false
28,false
2,false
1,false
48,false
12,false
2,false
20,false
20,false
42,false
112,false
1024,true
180,false
1,false
4,false
198,false
20,false
2,false
2,false
12,false
480,false
10,false
26,false
40,false
12,false
2,false
12,false
1,false
1024,true
168,false
120,false
14,false
1024,true
8,false
272,false
2,false
1,false
240,false
16,false
1,false
292,false
1,false
36,false
11,false
32,false
4,false
20,false
14,false
1024,true
1,false
220,false
26,false
1024,true
1,false
8,false
39,false
8,false
132,false
18,false
40,false
10,false
168,false
1024,true
72,false
26,false
14,false
4,false
1024,true
60,false
112,false
26,false
76,false
204,false
1024,true
780,false
4,false
40,false
14,false
1024,true
186,false
1024,true
16,false
16,false
1024,true
40,false
11,false
1024,true
1024,true
20,false
2,false
10,false
18,false
192,false
12,false
2,false
8,false
2,false
59,false
6,false
38,false
36,false
4,false
33,false
4,false
26,false
8,false
660,false
34,false
7,false
84,false
28,false
30,false
1024,true
1,false
6,false
4,false
5,false
1024,true
1024,true
1,false
36,false
4,false
84,false
42,false
2,false
152,false
6,false
14,false
120,false
1,false
42,false
1024,true
8,false
1,false
110,false
319,false
1,false
1,false
18,false
20,false
2,false
28,false
24,false
288,false
60,false
8,false
2,false
30,false
112,false
1024,true
60,false
182,false
4,false
168,false
144,false
30,false
1,false
40,false
8,false
1024,true
24,false
16,false
15,false
252,false
1,false
2,false
4,false
1024,true
288,false
120,false
320,false
4,false
20,false
36,false
1024,true
14,false
90,false
20,false
12,false
24,false
1024,true
77,false
2,false
1024,true
12,false
1024,true
4,false
2,false
28,false
72,false
44,false
70,false
26,false
46,false
56,false
1024,true
120,false
28,false
24,false
12,false
6,false
36,false
30,false
72,false
1024,true
70,false
1,false
30,false
1,false
1,false
26,false
8,false
144,false
24,false
1024,true
24,false
4,false
12,false
2,false
46,false
6,false
1024,true
1024,true
6,false
6,false
17,false
1024,true
1,false
76,false
1024,true
120,false
230,false
1,false
18,false
38,false
24,false
8,false
16,false
24,false
40,false
60,false
7,false
22,false
140,false
10,false
40,false
38,false
224,false
1024,true
12,false
1024,true
1024,true
8,false
36,false
1024,true
6,false
1024,true
4,false
8,false
1024,true
1,false
32,false
10,false
10,false
654,false
2,false
1024,true
22,false
6,false
6,false
10,false
28,false
26,false
180,false
8,false
2,false
840,false
1,false
10,false
24,false
3,false
84,false
28,false
1024,true
490,false
324,false
24,false
2,false
1024,true
4,false
