cycle_length,max_steps_reached
1,false
1,false
9,false
24,false
1,false
1,false
1,false
10,false
1,false
4,false
3,false
3,false
7,false
7,false
5,false
1,false
3,false
4,false
9,false
1,false
16,false
1,false
21,false
1,false
1,false
6,false
1,false
10,false
1,false
15,false
2,false
11,false
1,false
14,false
21,false
3,false
3,false
4,false
1,false
7,false
20,false
51,false
5,false
1,false
4,false
4,false
12,false
10,false
6,false
2,false
4,false
8,false
6,false
1,false
8,false
21,false
6,false
12,false
8,false
1,false
1,false
1,false
1,false
8,false
4,false
4,false
13,false
2,false
13,false
4,false
1,false
1,false
1,false
23,false
36,false
4,false
21,false
4,false
6,false
1,false
1,false
4,false
7,false
4,false
1,false
13,false
12,false
1,false
2,false
6,false
14,false
9,false
1,false
4,false
1,false
6,false
1,false
6,false
8,false
1,false
