cycle_length,max_steps_reached
4,false
484,false
70,false
78,false
88,false
32,false
4,false
113,false
10,false
42,false
266,false
6,false
17,false
86,false
246,false
8,false
29,false
86,false
2,false
483,false
10,false
179,false
11,false
12,false
134,false
78,false
4,false
4,false
20,false
46,false
98,false
6,false
182,false
196,false
4,false
51,false
2,false
2,false
90,false
68,false
4,false
14,false
30,false
12,false
2,false
2,false
31,false
24,false
270,false
19,false
134,false
2,false
40,false
16,false
8,false
112,false
389,false
47,false
294,false
127,false
29,false
69,false
43,false
283,false
158,false
121,false
6,false
4,false
20,false
259,false
26,false
6,false
8,false
38,false
114,false
4,false
4,false
146,false
4,false
4,false
61,false
12,false
28,false
5,false
76,false
4,false
62,false
2,false
279,false
52,false
22,false
4,false
76,false
356,false
161,false
16,false
6,false
7,false
126,false
194,false
