cycle_length,max_steps_reached
62,false
48,false
696,false
20,false
2,false
72,false
1024,true
1024,true
1,false
1,false
1024,true
36,false
84,false
1024,true
1024,true
4,false
144,false
22,false
2,false
1024,true
9,false
14,false
168,false
162,false
30,false
200,false
8,false
2,false
10,false
1024,true
1,false
1,false
8,false
12,false
52,false
306,false
1024,true
6,false
168,false
568,false
10,false
4,false
864,false
36,false
14,false
28,false
48,false
8,false
12,false
2,false
1024,true
60,false
62,false
1024,true
2,false
390,false
1024,true
1024,true
160,false
24,false
4,false
24,false
1024,true
36,false
1024,true
12,false
2,false
1024,true
1024,true
24,false
1,false
10,false
1024,true
1024,true
190,false
152,false
126,false
1024,true
1024,true
1,false
1,false
1024,true
120,false
1024,true
30,false
120,false
4,false
232,false
11,false
4,false
1024,true
44,false
8,false
16,false
2,false
72,false
24,false
1024,true
1024,true
64,false
6,false
1,false
1024,true
72,false
24,false
360,false
156,false
1,false
24,false
8,false
40,false
7,false
46,false
72,false
12,false
1024,true
5,false
60,false
12,false
4,false
3,false
8,false
8,false
4,false
132,false
1024,true
2,false
1024,true
30,false
192,false
1024,true
264,false
1024,true
16,false
1024,true
10,false
4,false
10,false
16,false
1,false
440,false
11,false
1024,true
60,false
28,false
1024,true
24,false
46,false
1,false
86,false
6,false
1,false
18,false
1,false
350,false
2,false
60,false
60,false
6,false
1024,true
1024,true
44,false
4,false
12,false
12,false
8,false
1,false
14,false
23,false
90,false
152,false
36,false
3,false
1,false
60,false
1024,true
4,false
1024,true
240,false
2,false
224,false
20,false
1,false
2,false
44,false
12,false
24,false
12,false
12,false
546,false
18,false
6,false
17,false
119,false
6,false
1,false
28,false
4,false
114,false
8,false
48,false
1024,true
24,false
9,false
1024,true
1,false
26,false
7,false
30,false
6,false
32,false
1024,true
1024,true
24,false
1024,true
36,false
4,false
6,false
60,false
1,false
40,false
16,false
24,false
456,false
2,false
4,false
24,false
2,false
1,false
1024,true
60,false
26,false
78,false
1,false
1024,true
150,false
728,false
5,false
4,false
1,false
10,false
1024,true
150,false
48,false
40,false
120,false
42,false
14,false
6,false
4,false
1024,true
40,false
42,false
4,false
24,false
84,false
144,false
18,false
1024,true
16,false
1024,true
52,false
1024,true
1024,true
168,false
44,false
1024,true
210,false
80,false
1024,true
330,false
1024,true
4,false
1024,true
4,false
14,false
132,false
48,false
24,false
98,false
58,false
1024,true
56,false
144,false
2,false
21,false
1024,true
60,false
60,false
106,false
352,false
420,false
6,false
1024,true
6,false
1,false
1024,true
10,false
210,false
1024,true
26,false
1024,true
10,false
1024,true
1024,true
14,false
2,false
24,false
8,false
1024,true
18,false
4,false
156,false
4,false
1024,true
154,false
76,false
132,false
42,false
6,false
20,false
42,false
4,false
2,false
1024,true
1024,true
70,false
96,false
120,false
24,false
84,false
42,false
1,false
1024,true
28,false
60,false
1024,true
104,false
60,false
60,false
42,false
6,false
12,false
1,false
28,false
174,false
1024,true
4,false
1024,true
1024,true
6,false
140,false
344,false
180,false
140,false
56,false
330,false
192,false
24,false
10,false
24,false
9,false
30,false
1,false
1,false
20,false
41,false
1024,true
1024,true
320,false
6,false
76,false
72,false
76,false
420,false
200,false
616,false
28,false
84,false
1024,true
468,false
90,false
36,false
672,false
1024,true
1,false
28,false
8,false
1024,true
1024,true
69,false
8,false
1024,true
8,false
168,false
144,false
8,false
192,false
9,false
60,false
102,false
1024,true
160,false
1024,true
1024,true
6,false
1024,true
1,false
1024,true
1,false
80,false
2,false
12,false
168,false
24,false
40,false
4,false
2,false
16,false
1024,true
3,false
30,false
4,false
2,false
1024,true
180,false
132,false
6,false
4,false
1024,true
84,false
12,false
12,false
1024,true
2,false
120,false
154,false
1024,true
1024,true
14,false
2,false
1024,true
1024,true
352,false
1024,true
1,false
20,false
1024,true
30,false
1,false
304,false
80,false
1024,true
1024,true
32,false
2,false
15,false
1024,true
30,false
420,false
1024,true
1,false
18,false
8,false
240,false
10,false
14,false
10,false
72,false
1024,true
6,false
6,false
120,false
22,false
26,false
4,false
5,false
1024,true
36,false
4,false
1,false
20,false
22,false
10,false
1024,true
12,false
1024,true
72,false
66,false
1024,true
1024,true
2,false
13,false
1024,true
12,false
40,false
160,false
1024,true
14,false
112,false
