cycle_length,max_steps_reached
1,false
12,false
8,false
3,false
386,false
1,false
1,false
4,false
1,false
100,false
6,false
2,false
7,false
4,false
56,false
7,false
4,false
17,false
4,false
5,false
4,false
5,false
1,false
1,false
2,false
53,false
2,false
1,false
55,false
2,false
4,false
4,false
1,false
85,false
18,false
1,false
1,false
1,false
10,false
2,false
1,false
111,false
1,false
9,false
63,false
1,false
6,false
8,false
4,false
1,false
1,false
24,false
6,false
23,false
44,false
5,false
1,false
1,false
1,false
1,false
1,false
8,false
1,false
1,false
6,false
1,false
1,false
1,false
1,false
1,false
8,false
4,false
1,false
4,false
4,false
4,false
3,false
4,false
1,false
6,false
1,false
10,false
9,false
8,false
8,false
22,false
1,false
12,false
24,false
16,false
3,false
14,false
1,false
12,false
4,false
1,false
1,false
1,false
1,false
10,false
7,false
1,false
4,false
15,false
32,false
1,false
1,false
1,false
4,false
12,false
12,false
1,false
1,false
1,false
12,false
23,false
8,false
6,false
4,false
1,false
12,false
1,false
5,false
24,false
4,false
1,false
1,false
6,false
1,false
1,false
5,false
6,false
2,false
2,false
15,false
1,false
1,false
2,false
1,false
11,false
6,false
63,false
12,false
3,false
33,false
2,false
1,false
4,false
1,false
1,false
6,false
4,false
4,false
12,false
1,false
39,false
1,false
50,false
4,false
5,false
84,false
5,false
6,false
4,false
14,false
8,false
1,false
1,false
6,false
1,false
1,false
1,false
1,false
4,false
14,false
1,false
1,false
1,false
1,false
8,false
18,false
1,false
19,false
1,false
1,false
1,false
12,false
19,false
6,false
84,false
1,false
7,false
8,false
6,false
1,false
4,false
4,false
4,false
60,false
8,false
12,false
18,false
12,false
12,false
6,false
16,false
1,false
2,false
4,false
1,false
4,false
9,false
2,false
3,false
1,false
6,false
8,false
21,false
1,false
1,false
41,false
111,false
11,false
8,false
12,false
6,false
1,false
8,false
6,false
1,false
8,false
10,false
7,false
1,false
12,false
1,false
17,false
1,false
14,false
8,false
1,false
6,false
1,false
20,false
10,false
8,false
12,false
4,false
1,false
8,false
1,false
6,false
1,false
37,false
4,false
6,false
1,false
12,false
1,false
3,false
1,false
3,false
4,false
6,false
6,false
2,false
1,false
5,false
6,false
1,false
4,false
3,false
4,false
4,false
4,false
2,false
1,false
1,false
2,false
5,false
1,false
18,false
20,false
8,false
1,false
6,false
1,false
1,false
4,false
1,false
1,false
12,false
2,false
4,false
1,false
1,false
2,false
11,false
9,false
1,false
4,false
1,false
8,false
63,false
1,false
1,false
1,false
12,false
2,false
14,false
4,false
6,false
1,false
1,false
1,false
4,false
6,false
4,false
4,false
8,false
4,false
5,false
1,false
30,false
12,false
6,false
4,false
4,false
1,false
6,false
2,false
1,false
5,false
1,false
6,false
3,false
9,false
44,false
228,false
1,false
12,false
3,false
1,false
1,false
1,false
9,false
20,false
1,false
1,false
1,false
11,false
1,false
2,false
2,false
1,false
9,false
8,false
11,false
4,false
31,false
1,false
7,false
6,false
1,false
1,false
3,false
12,false
1,false
4,false
4,false
1,false
4,false
1,false
4,false
1,false
4,false
1,false
13,false
6,false
8,false
2,false
2,false
6,false
9,false
36,false
4,false
1,false
1,false
1,false
1,false
1,false
2,false
10,false
8,false
2,false
4,false
6,false
1,false
1,false
47,false
8,false
13,false
7,false
4,false
1,false
8,false
4,false
4,false
12,false
4,false
1,false
1,false
3,false
1,false
511,false
15,false
1,false
2,false
8,false
20,false
3,false
12,false
4,false
8,false
12,false
4,false
4,false
46,false
3,false
1,false
3,false
10,false
2,false
1,false
13,false
4,false
5,false
4,false
2,false
5,false
1,false
4,false
1,false
1,false
1,false
1,false
4,false
8,false
1,false
1,false
1,false
1,false
4,false
4,false
8,false
1,false
2,false
1,false
1,false
1,false
6,false
8,false
1,false
1,false
4,false
1,false
1,false
1,false
1,false
4,false
1,false
1,false
1,false
6,false
6,false
4,false
2,false
8,false
1,false
8,false
812,false
10,false
8,false
4,false
7,false
2,false
12,false
28,false
38,false
10,false
1,false
24,false
1,false
12,false
24,false
4,false
3,false
3,false
1,false
3,false
